state,label,n,pct,suggested_category,assessment,reason,flags,your_category,your_note
PA,UNKNOWN / (none) / Inactive - Administratively Dissolved,7,0.0,TERMINATED_INVOLUNTARY,CONCERN,status UNKNOWN; category from wording only,RARE,,
HI,INACTIVE / (none) / purged,7,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""purged""",RARE,,
NC,INACTIVE / (none) / To Foreign Ins.,6,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""To Foreign Ins.""",RARE,,
HI,INACTIVE / (none) / Records Frozen,5,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Records Frozen""",RARE,,
ME,UNKNOWN / (none) / INFORMATIONAL,5,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""INFORMATIONAL""",RARE,,
WV,ACTIVE / (none) / Other,5,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Other""",RARE,,
UT,INACTIVE / (none) / Transferred,5,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Transferred""",RARE,,
NV,ACTIVE / (none) / Registered,5,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
UT,INACTIVE / (none) / Deleted,5,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Deleted""",RARE,,
TX,INACTIVE / (none) / STRICKEN,4,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""STRICKEN""",RARE,,
DC,UNKNOWN / (none) / Foreign,4,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Foreign""",RARE,,
ME,INACTIVE / (none) / REMOVED - COURT ORDER,4,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""REMOVED - COURT ORDER""",RARE,,
MT,UNKNOWN / (none) / Inactive-Domesticated,4,0.001,SUCCEEDED,REVIEW,status UNKNOWN; category from wording only,RARE,,
DC,INACTIVE / PENDING_ACTIVE / Redeemed,3,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Redeemed""",RARE,,
CA,ACTIVE / PENDING_ACTIVE / Active - Pending Future File Date,3,0.0,NOT_FORMED,CONCERN,active with pending-activation sub-status,RARE,,
WV,ACTIVE / PENDING_INACTIVE / Pending,3,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
NM,INACTIVE / (none) / Pending Administrative Revocation,3,0.0,TERMINATED_UNSPECIFIED,CONCERN,inactive with pending-action wording,RARE,,
NM,INACTIVE / (none) / Tax Clearance,3,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Tax Clearance""",RARE,,
UT,INACTIVE / (none) / Administrative Hold,3,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Administrative Hold""",RARE,,
CA,UNKNOWN / (none) / Terminated - Court Order,2,0.0,TERMINATED_UNSPECIFIED,CONCERN,status UNKNOWN; category from wording only,RARE,,
TN,INACTIVE / (none) / Deleted,2,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Deleted""",RARE,,
CT,ACTIVE / (none) / Active - Pending Domestication,2,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
HI,INACTIVE / (none) / New,2,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""New""",RARE,,
KS,INACTIVE / (none) / Filing Rescinded,2,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Filing Rescinded""",RARE,,
GA,INACTIVE / (none) / Redeemed,2,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Redeemed""",RARE,,
RI,INACTIVE / (none) / Mastership,2,0.001,UNRESOLVED,REVIEW,"wording not classifiable: ""Mastership""",RARE,,
NH,ACTIVE / (none) / Pending Domestication,2,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
MS,UNKNOWN / (none) / NotFound,2,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""NotFound""",RARE,,
MT,UNKNOWN / (none) / Inactive-Converted,2,0.0,SUCCEEDED,REVIEW,status UNKNOWN; category from wording only,RARE,,
RI,INACTIVE / (none) / Revocation Notice,2,0.001,TERMINATED_UNSPECIFIED,CONCERN,inactive with pending-action wording,RARE,,
KS,INACTIVE / (none) / FILING RESCINDED,1,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""FILING RESCINDED""",RARE,,
MT,UNKNOWN / (none) / Inactive-Void,1,0.0,TERMINATED_INVOLUNTARY,CONCERN,status UNKNOWN; category from wording only,RARE,,
DC,UNKNOWN / (none) / Active - In Good Standing - Pending Domestication,1,0.0,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,RARE,,
KS,UNKNOWN / (none) / Delinquent Pending Examination of I/R,1,0.0,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,RARE,,
KS,UNKNOWN / (none) / Status Pending Examination Of A/R,1,0.0,NOT_FORMED,CONCERN,status UNKNOWN; category from wording only,RARE,,
KS,ACTIVE / (none) / Registered,1,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
NH,INACTIVE / (none) / Non-Registered,1,0.0,TERMINATED_UNSPECIFIED,CONCERN,positive wording on inactive record is stale; enum used,"STALE_WORDING,RARE",,
PA,ACTIVE / PENDING_ACTIVE / Active - Pending Future Effective Date,1,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
NV,ACTIVE / (none) / Pending,1,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
NV,ACTIVE / (none) / Reserved,1,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
NH,INACTIVE / (none) / Objection,1,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Objection""",RARE,,
VT,UNKNOWN / (none) / Filed in error,1,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Filed in error""",RARE,,
VT,ACTIVE / GOOD_STANDING / Active - In Good Standing - Pending Domestication,1,0.0,NOT_FORMED,CONCERN,active status with pre-formation wording,RARE,,
UT,INACTIVE / (none) / Declined,1,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Declined""",RARE,,
UT,ACTIVE / (none) / Emeritus Registration,1,0.0,UNRESOLVED,REVIEW,"wording not classifiable: ""Emeritus Registration""",RARE,,
