state,label,n,state_n,pct,p05,p50,p95,dated_n,s_p05,s_p50,s_p95,outlier_flags,status_details,cleaning_action
CO,ACTIVE / GOOD_STANDING / Good Standing,1043041,3123234,33.396,1999.0,2021.0,2026.0,1043041.0,1995,2016,2026,,Good Standing,
CO,INACTIVE / DISSOLVED / Voluntarily Dissolved,597383,3123234,19.127,1996.0,2014.0,2024.0,597383.0,1995,2016,2026,,Voluntarily Dissolved,
CO,INACTIVE / DISSOLVED / Administratively Dissolved,157834,3123234,5.054,1983.0,1998.0,2003.0,157834.0,1995,2016,2026,RETIRED: 95% of filings before 2003 (state median 2016),Administratively Dissolved,
CO,INACTIVE / (none) / Withdrawn,80156,3123234,2.566,1993.0,2011.0,2022.0,80156.0,1995,2016,2026,,Withdrawn,
CO,ACTIVE / NOT_GOOD_STANDING / Noncompliant,34474,3123234,1.104,2008.0,2025.0,2025.0,34474.0,1995,2016,2026,,Noncompliant,
CO,INACTIVE / (none) / Revoked,20688,3123234,0.662,1983.0,1997.0,2003.0,20688.0,1995,2016,2026,RETIRED: 95% of filings before 2003 (state median 2016),Revoked,
CO,INACTIVE / DISSOLVED / Judicially Dissolved,15924,3123234,0.51,2022.0,2023.0,2023.0,15924.0,1995,2016,2026,,Judicially Dissolved,
CO,ACTIVE / (none) / Exists,15662,3123234,0.501,1953.0,1992.0,2007.0,15662.0,1995,2016,2026,,Exists,
CO,INACTIVE / (none) / Merged,10155,3123234,0.325,1971.0,1999.0,2018.0,10155.0,1995,2016,2026,,Merged,
CO,INACTIVE / (none) / Converted,4783,3123234,0.153,1995.0,2015.0,2024.0,4783.0,1995,2016,2026,,Converted,
CO,INACTIVE / (none) / Registered Agent Resigned,663,3123234,0.021,1983.0,1994.0,2005.0,663.0,1995,2016,2026,RETIRED: 95% of filings before 2005 (state median 2016),Registered Agent Resigned,
CO,INACTIVE / (none) / Effectiveness Prevented,227,3123234,0.007,2004.0,2014.0,2024.0,227.0,1995,2016,2026,RARE: <0.01% of state,Effectiveness Prevented,
CO,INACTIVE / DISSOLVED / Dissolved (Term Expired),144,3123234,0.005,1993.0,2005.0,2011.0,144.0,1995,2016,2026,RARE: <0.01% of state,Dissolved (Term Expired),
CO,INACTIVE / (none) / Consolidated,18,3123234,0.001,1884.0,1964.0,1996.0,18.0,1995,2016,2026,RARE: <0.01% of state,Consolidated,
CO,ACTIVE / (none) / (none),1,3123234,0.0,2020.0,2020.0,2020.0,1.0,1995,2016,2026,RARE: <0.01% of state,(none),
CO,INACTIVE / (none) / (none),1,3123234,0.0,1991.0,1991.0,1991.0,1.0,1995,2016,2026,RARE: <0.01% of state,(none),
CT,INACTIVE / (none) / Forfeited,357215,1299546,27.488,1973.0,2005.0,2022.0,357182.0,1976,2010,2025,,Forfeited,
CT,ACTIVE / (none) / Active,354014,1299546,27.241,1992.0,2020.0,2026.0,353435.0,1976,2010,2025,,Active,
CT,INACTIVE / DISSOLVED / Dissolved,319457,1299546,24.582,1974.0,2005.0,2023.0,319389.0,1976,2010,2025,,Dissolved,
CT,ACTIVE / NOT_GOOD_STANDING / Annual report past due,55512,1299546,4.272,2000.0,2023.0,2025.0,55511.0,1976,2010,2025,,Annual report past due,
CT,INACTIVE / (none) / Withdrawn,53863,1299546,4.145,1976.0,2003.0,2022.0,53837.0,1976,2010,2025,,Withdrawn,
CT,INACTIVE / (none) / Revoked,46483,1299546,3.577,1975.0,2003.0,2021.0,46479.0,1976,2010,2025,,Revoked,
CT,ACTIVE / PENDING_INACTIVE / Admin Dissolution Initiated,28593,1299546,2.2,2006.0,2023.0,2024.0,28593.0,1976,2010,2025,,Admin Dissolution Initiated,
CT,ACTIVE / (none) / Annual report due,20394,1299546,1.569,1968.0,2014.0,2026.0,20394.0,1976,2010,2025,,Annual report due,
CT,INACTIVE / (none) / Cancelled,18809,1299546,1.447,1986.0,2003.0,2014.0,18807.0,1976,2010,2025,,Cancelled,
CT,INACTIVE / (none) / Merged,12713,1299546,0.978,1946.0,1983.0,2009.0,12205.0,1976,2010,2025,,Merged,
CT,INACTIVE / (none) / Expired Reservation,11858,1299546,0.912,1968.0,2010.0,2023.0,4.0,1976,2010,2025,,Expired Reservation,
CT,INACTIVE / (none) / Rejected,9991,1299546,0.769,2021.0,2024.0,2026.0,9208.0,1976,2010,2025,NEW: 95% of filings after 2021,Rejected,
CT,INACTIVE / (none) / Expired,3075,1299546,0.237,1961.0,2018.0,2024.0,10.0,1976,2010,2025,,Expired,
CT,ACTIVE / NOT_GOOD_STANDING / First report past due,1418,1299546,0.109,2023.0,2025.0,2026.0,1418.0,1976,2010,2025,NEW: 95% of filings after 2023,First report past due,
CT,INACTIVE / (none) / Renunciated,1318,1299546,0.101,1997.0,2008.0,2024.0,1318.0,1976,2010,2025,,Renunciated,
CT,ACTIVE / PENDING_INACTIVE / Ready for dissolution,1018,1299546,0.078,1984.0,2016.0,2024.0,1018.0,1976,2010,2025,,Ready for dissolution,
CT,INACTIVE / PENDING_ACTIVE / Reserved,885,1299546,0.068,,,,,1976,2010,2025,,Reserved,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
CT,ACTIVE / (none) / First report due,640,1299546,0.049,2026.0,2026.0,2026.0,640.0,1976,2010,2025,NEW: 95% of filings after 2026,First report due,
CT,ACTIVE / (none) / Domesticated,516,1299546,0.04,1994.0,2015.0,2024.0,515.0,1976,2010,2025,,Domesticated,
CT,ACTIVE / (none) / Redomesticated,332,1299546,0.026,1981.0,2006.0,2018.0,327.0,1976,2010,2025,,Redomesticated,
CT,UNKNOWN / (none) / Recorded,299,1299546,0.023,2004.0,2011.0,2023.0,292.0,1976,2010,2025,,Recorded,
CT,INACTIVE / (none) / Consolidation,214,1299546,0.016,1901.0,1950.0,1981.0,203.0,1976,2010,2025,RETIRED: 95% of filings before 1981 (state median 2010),Consolidation,
CT,INACTIVE / (none) / Converted Out,207,1299546,0.016,1973.0,2007.0,2023.0,206.0,1976,2010,2025,,Converted Out,
CT,ACTIVE / NOT_GOOD_STANDING / No Agent,204,1299546,0.016,1994.0,2013.0,2021.0,204.0,1976,2010,2025,,No Agent,
CT,INACTIVE / (none) / Removed,144,1299546,0.011,,,,,1976,2010,2025,,Removed,
CT,INACTIVE / (none) / (none),97,1299546,0.007,2021.0,2022.0,2022.0,94.0,1976,2010,2025,RARE: <0.01% of state,(none),
CT,INACTIVE / (none) / Converted,82,1299546,0.006,1977.0,2001.0,2021.0,81.0,1976,2010,2025,RARE: <0.01% of state,Converted,
CT,ACTIVE / PENDING_INACTIVE / Ready for Forfeiture,74,1299546,0.006,1965.0,2017.0,2024.0,74.0,1976,2010,2025,RARE: <0.01% of state,Ready for Forfeiture,
CT,ACTIVE / (none) / (none),37,1299546,0.003,1959.0,2021.0,2022.0,14.0,1976,2010,2025,RARE: <0.01% of state,(none),
CT,INACTIVE / (none) / Reserved Cancel,35,1299546,0.003,,,,,1976,2010,2025,RARE: <0.01% of state,Reserved Cancel,
CT,ACTIVE / PENDING_INACTIVE / Pending Withdrawal,14,1299546,0.001,2005.0,2020.0,2023.0,14.0,1976,2010,2025,RARE: <0.01% of state,Pending Withdrawal,
CT,INACTIVE / PENDING_ACTIVE / Registered,14,1299546,0.001,2020.0,2020.0,2020.0,1.0,1976,2010,2025,RARE: <0.01% of state,Registered,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
CT,ACTIVE / (none) / Fraudulent Filing Complaint Sent,8,1299546,0.001,2025.0,2026.0,2026.0,8.0,1976,2010,2025,RARE: <0.01% of state,Fraudulent Filing Complaint Sent,
CT,INACTIVE / PENDING_ACTIVE / Pending Filing,5,1299546,0.0,2001.0,2019.0,2020.0,5.0,1976,2010,2025,RARE: <0.01% of state,Pending Filing,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
